# TCDC licensed SACCOS as of 30 June 2022 - Arusha & Kilimanjaro regions subset (name|postal|licence class)
SUNFLAG EMPLOYEE SACCOS LTD|BOX 3123 ARUSHA|A
TAHA SACCOS LTD|BOX 15652 ARUSHA|A
TAI SACCOS LTD|BOX 306 HAI|A
TANZANIA TOUR GUIDES SACCOS LTD|BOX 11755 ARUSHA|A
TARANGIRE WORKERS SACCOS LTD|BOX 3134 ARUSHA|A
TAWIRI SACCOS LTD|BOX 661 ARUSHA|A
TCCIA ARUSHA SACCOS LTD|BOX 141 ARUSHA|A
TPC SACCOS LTD|P.O.BOX 118 MOSHI|B
TUJIKOMBOE SACCOS LTD|P.O.BOX 1076, MOSHI|A
TUMAINI SACCOS LTD|BOX 308 MARANGU|A
TUMAINI SACCOS LTD|BOX 6070 ARUSHA|B
UMAHAKA SACCOS LTD|BOX 16475 ARUSHA|A
UMATAMA SACCOS LTD|BOX 11200 ARUSHA|A
UMBWE NDOO SACCOS LTD|P.O.BOX 8666, MOSHI|A
UMOJA (2006) SACCOS LTD|BOX 7291 MOSHI|A
UOA AMANI SACCOS LTD|BOX 7 USA RIVER|A
URU MASHARIKI SACCOS LTD|BOX 3041 MOSHI|A
UTALII SACCOS LTD|P.O.BOX 427, ARUSHA|A
UWAPA SACCOS LTD|BOX 15418 ARUSHA|A
VETA OLJORO STAFF SACCOS LTD|BOX 509 ARUSHA|A
VIJANA MANISPAA MOSHI SACCOS LTD|BOX 2064 MOSHI|A
WARI SACCOS LTD|P.O.BOX 6659, MOSHI|A
WARRIOR SECURITY STAFF SACCOS LTD|BOX 15439 ARUSHA|A
WAZALENDO SACCOS LTD|P.O.BOX 474 MOSHI|B
ARUSHA SOKO KUU SACCOS LTD|Box 12543 ARUSHA|A
