organisation	host	kind	item_id	date	title	tags	listing_url
Arusha Regional Secretariat	arusha.go.tz	announcements	250	2026-03-04	MAADHIMISHO YA SIKU YA WANAWAKE DUNIANI MKOA WA ARUSHA 05 MACHI,2026	exhibition_or_public_event	https://arusha.go.tz/api/announcements?page=1&limit=50
Hai District Council	haidc.go.tz	news	709	2026-03-04	Mratibu wa maadhimisho ya siku ya wanawake Hai awakaribisha wananchi kushiriki kikamilifu	parents_or_education, exhibition_or_public_event	https://haidc.go.tz/api/news?page=2&limit=50
Siha District Council	sihadc.go.tz	news	747	2026-03-04	Mkuu wa WIilaya ya Siha Mhe Dkt Christopher Timbuka akizungumza na wafanyabiashara katika kituo cha Kia	parents_or_education, officials_training	https://sihadc.go.tz/api/news?page=2&limit=50
Meru District Council	merudc.go.tz	news	957	2026-02-27	MKUU WA MKOA WA ARUSHA ATOA MAELEKEZO KWA VIONGOZI NGAZI YA WILAYA NA HALMASHAURI	exhibition_or_public_event, officials_training	https://merudc.go.tz/api/news?page=1&limit=50
Moshi District Council	moshidc.go.tz	news	1181	2026-02-25	BARAZA LA MADIWANI MOSHI DC LAPITISHA BAJETI NA MPANGO WA MAENDELEO 2026/2027	public_meeting, parents_or_education	https://moshidc.go.tz/api/news?page=2&limit=50
Meru District Council	merudc.go.tz	announcements	295	2026-02-21	ZIARA YA KIKAZI YA WAZIRI MKUU MHE. MWIGULU LAMECK NCHEMBA(MB) KATIKA WILAYA YA ARUMERU	public_meeting	https://merudc.go.tz/api/announcements?page=1&limit=50
Meru District Council	merudc.go.tz	announcements	254	2026-02-20	MKUTANO MAALUM WA BARAZA LA HALMASHAURI	public_meeting	https://merudc.go.tz/api/announcements?page=1&limit=50
Moshi District Council	moshidc.go.tz	news	715	2026-02-19	RC BABU AFUNGUA MAFUNZO YA MADIWANI MOSHI DC, WAASWA KUZINGATIA KANUNI, SHERIA NA TARATIBU.	public_meeting	https://moshidc.go.tz/api/news?page=2&limit=50
Arusha City Council	arushacc.go.tz	news	1004	2026-02-13	MKUU WA WILAYA YA ARUSHA MHE. MODEST MKUDE AKABIDHI VIFAA SAIDIZI KWA WALIMU WENYE MAHITAJI MAALUMU	officials_training	https://arushacc.go.tz/api/news?page=1&limit=50
Meru District Council	merudc.go.tz	announcements	291	2026-02-12	MKUTANO WA BARAZA LA MADIWANI	public_meeting, exhibition_or_public_event	https://merudc.go.tz/api/announcements?page=1&limit=50
Meru District Council	merudc.go.tz	news	965	2025-12-05	DC MWINYI AMEKABIDHI PIKIPIKI 15 KWA VIKUNDI VITATU VYA VIJANA KUTOKA MERU DC	public_meeting	https://merudc.go.tz/api/news?page=1&limit=50
