organisation	host	kind	item_id	date	title	tags	listing_url
Arusha Regional Secretariat	arusha.go.tz	news	4471	2026-05-29	WAZIRI MASAUNI AHIMIZA UTUNZAJI MAZINGIRA NA UWEKEZAJI KWENYE KUREJELEZA TAKA🇹🇿	exhibition_or_public_event	https://arusha.go.tz/api/news?page=5&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	4503	2026-05-28	MJENGA ATOA ELIMU YA AINA ZA UONGOZI, AKITAKA KILA MMOJA KUJITATHIMINI🇹🇿	parents_or_education, officials_training	https://arusha.go.tz/api/news?page=4&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	4477	2026-05-28	RAS NGUVILA ASISITIZA UMUHIMU WA MAFUNZO KWA VIONGOZI NA WATENDAJI WA ARUSHA	officials_training	https://arusha.go.tz/api/news?page=5&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	4473	2026-05-23	MAANDALIZI YA MAONESHO YA NANENANE KANDA YA KASKAZINI YAANZA RASMI ARUSHA🇹🇿	exhibition_or_public_event	https://arusha.go.tz/api/news?page=5&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	4472	2026-05-22	RAS ARUSHA ASISITIZA UTUNZAJI WA MAZINGIRA NA MATUMIZI YA NISHATI SAFI YA KUPIKIA🇹🇿	exhibition_or_public_event	https://arusha.go.tz/api/news?page=5&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	4235	2026-05-22	WAZIRI MHANDISI MASAUNI AWASILI WILAYA YA ARUSHA; KUSHIRIKI SHUGHULI ZA UTUNZAJI WA MAZINGIRA🇹🇿	parents_or_education, exhibition_or_public_event	https://arusha.go.tz/api/news?page=5&limit=50
Meru District Council	merudc.go.tz	news	4216	2026-05-21	MERU DC YAFANYA KIKAO CHA TATHIMINI YA LISHE WILAYA	ward_meeting, parents_or_education, officials_training	https://merudc.go.tz/api/news?page=1&limit=50
Hai District Council	haidc.go.tz	news	4140	2026-05-20	Serikali kufanya tathmini ya wanaotoa elimu ya afya bila vibali	public_meeting, parents_or_education	https://haidc.go.tz/api/news?page=1&limit=50
Simanjiro District Council	simanjirodc.go.tz	news	4173	2026-05-20	MKUTANO WA BARAZA LA MADIWANI	public_meeting, exhibition_or_public_event	https://simanjirodc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	4057	2026-05-19	MAAFISA MAENDELEO YA JAMII NA USTAWI WAKUTANA, UIMARISHAJI WA VIKUNDI VYA MALEZI🇹🇿	parents_or_education, exhibition_or_public_event	https://arusha.go.tz/api/news?page=5&limit=50
Siha District Council	sihadc.go.tz	news	4052	2026-05-19	Ziara Mbunge wa Viti Maalum Mkoa wa Kilimanjaro kundi la wazazi kupitia Chama Cha Mapinduzi (CCM)	parents_or_education, exhibition_or_public_event	https://sihadc.go.tz/api/news?page=1&limit=50
Hai District Council	haidc.go.tz	news	3954	2026-05-15	Hai yafanya vizuri katika ukusanyaji wa mapato	public_meeting, parents_or_education	https://haidc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	3843	2026-05-14	MAONESHO YA KARIBU - KILIFAIR KUANZA JUNI 2026 ARUSHA; NCHI 40 KUSHIRIKI 🇹🇿	exhibition_or_public_event	https://arusha.go.tz/api/news?page=5&limit=50
Hai District Council	haidc.go.tz	news	3796	2026-05-13	Madiwani waridhishwa na utekelezaji wa miradi	public_meeting, parents_or_education	https://haidc.go.tz/api/news?page=2&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	3713	2026-05-12	RAS ARUSHA AZUNGUMZA NA MANAIBU MAWAZIRI WA OR -UTUMISHI NA OWM- TAMISEMI	exhibition_or_public_event	https://arusha.go.tz/api/news?page=5&limit=50
Meru District Council	merudc.go.tz	news	3756	2026-05-12	MHE. LUCAS KAAYA AONGOZA BARAZA LA MADIWANI MERU DC	public_meeting, parents_or_education, exhibition_or_public_event	https://merudc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	3637	2026-05-11	RAS ARUSHA AWAKABDIHI VYETI WAFANYAKAZI HODARI OFISI YA MKUU WA MKOA ARUSHA	exhibition_or_public_event	https://arusha.go.tz/api/news?page=5&limit=50
Monduli District Council	mondulidc.go.tz	news	3564	2026-05-11	Stendi Ya Makuyuni Kuanza Rasmi Mwaka Wa Fedha 2026/ 2027	public_meeting	https://mondulidc.go.tz/api/news?page=1&limit=50
Monduli District Council	mondulidc.go.tz	news	3563	2026-05-11	Geuzeni Changamoto Kuwa Fursa Ili Wananchi Wafurahi	public_meeting, parents_or_education	https://mondulidc.go.tz/api/news?page=1&limit=50
Monduli District Council	mondulidc.go.tz	news	3561	2026-05-11	Monduli Yahitimisha Wiki Ya Chanjo Kwa Kutoa Chanjo Na Elimu Ya Afya.	parents_or_education, exhibition_or_public_event	https://mondulidc.go.tz/api/news?page=1&limit=50
Siha District Council	sihadc.go.tz	announcements	492	2026-05-11	TANGAZO YA MAADHIMISHO YA WIKI YA RASILIMALI WATU	exhibition_or_public_event	https://sihadc.go.tz/api/announcements?page=1&limit=50
Meru District Council	merudc.go.tz	announcements	486	2026-05-07	MKUTANO KAWAIDA WA BARAZA LA HALMASHAURI	public_meeting	https://merudc.go.tz/api/announcements?page=1&limit=50
Siha District Council	sihadc.go.tz	news	3532	2026-05-07	WATENDAJI KATA, VIJIJI WAPATIWA MAFUNZO YA MFUMO WA GAMIS	officials_training	https://sihadc.go.tz/api/news?page=1&limit=50
Meru District Council	merudc.go.tz	news	3439	2026-05-06	DC MWINYI AZINDUA JENGO LA ZIMAMOTO WILAYA YA ARUMERU	parents_or_education, exhibition_or_public_event	https://merudc.go.tz/api/news?page=1&limit=50
Meru District Council	merudc.go.tz	news	3437	2026-05-06	MERU DC YASHIRIKI MAADHIMISHO YA SIKU YA WAFANYAKAZI DUNIANI	exhibition_or_public_event	https://merudc.go.tz/api/news?page=1&limit=50
Meru District Council	merudc.go.tz	news	3435	2026-05-06	MERU DC YAFANYA UNION BONANZA	exhibition_or_public_event	https://merudc.go.tz/api/news?page=1&limit=50
Siha District Council	sihadc.go.tz	news	3677	2026-05-06	BARAZA LA MADIWANI SIHA DC LAMPONGEZA MKURUGENZI KWA UKUSANYAJI WA MAPATO YA NDANI	public_meeting	https://sihadc.go.tz/api/news?page=1&limit=50
Meru District Council	merudc.go.tz	news	3441	2026-05-05	MERU DC YAENDELEA KUWASHIKA MKONO WAATHIRIKA WA MAFURIKO	exhibition_or_public_event	https://merudc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	3224	2026-05-03	SALAMU ZA RC MAKALLA KWA WANAFUNZI WA KIDATO CHA SITA 2026🇹🇿	public_meeting	https://arusha.go.tz/api/news?page=6&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	3223	2026-05-03	SALAMU ZA RAS ARUSHA KWA WANAFUNZI WA KIDATO CHA SITA 2026	public_meeting	https://arusha.go.tz/api/news?page=6&limit=50
Siha District Council	sihadc.go.tz	news	3257	2026-05-03	WATUMISHI HODARI WAKIPOKEA VYETI NA ZAWADI KWA MKUU WA MKOA KILIMANJARO	parents_or_education, exhibition_or_public_event	https://sihadc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	3219	2026-05-02	WANAFUNZI 5,361 KUFANYA MTIHANI WA KIDATO CHA SITA MKOA WA ARUSHA🇹🇿	public_meeting, parents_or_education	https://arusha.go.tz/api/news?page=6&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	3194	2026-05-01	RC MAKALLA AKABIDHI ZAWADI KWA WAFANYAKAZI HODARI SEKRETARIETI YA MKOA WA ARUSHA 🇹🇿	exhibition_or_public_event	https://arusha.go.tz/api/news?page=6&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	3173	2026-05-01	RC MAKALLA MGENI RASMI MEI MOSI MKOA WA ARUSHA🇹🇿	exhibition_or_public_event	https://arusha.go.tz/api/news?page=6&limit=50
Kilimanjaro Regional Secretariat	kilimanjaro.go.tz	news	3190	2026-05-01	TAASISI BINAFSI KILIMANJARO ZASISITIZWA KULINDA MASLAHI YA WAFANYAKAZI.	public_meeting, exhibition_or_public_event	https://kilimanjaro.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	3185	2026-04-30	RC MAKALLA AWATAKA WAAJIRI KUWASILISHA KWA WAKATI MICHANGO YA WAFANYAKAZI KWENYE MIFUKO YA HIFADHI YA JAMII	exhibition_or_public_event	https://arusha.go.tz/api/news?page=6&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	3174	2026-04-30	RAS ARUSHA ATOA SALAMU KWA WAFANYAKAZI WA MKOA WA ARUSHA 🇹🇿	exhibition_or_public_event	https://arusha.go.tz/api/news?page=6&limit=50
Siha District Council	sihadc.go.tz	news	3249	2026-04-30	MITI 3,500 YA MATUNDA IMEPANDWA HOSPITALI YA WILAYA YA SIHA	election_period	https://sihadc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	3133	2026-04-29	RC MAKALLA ATAKA MAAFISA ARDHI KUTATUA MIGOGORO YA ARDHI*🇹🇿	public_meeting	https://arusha.go.tz/api/news?page=6&limit=50
Siha District Council	sihadc.go.tz	news	3246	2026-04-29	JESHI LA ZIMAMOTO SIHA LATOA ELIMU KWA WANANCHI KUKABILIANA NA MAJANGA.	parents_or_education, exhibition_or_public_event	https://sihadc.go.tz/api/news?page=1&limit=50
Siha District Council	sihadc.go.tz	announcements	475	2026-04-29	TANGAZO LA MKUTANO WA BARAZA LA WAHESHIMIWA MADIWANI KIPINDI CHA ROBO YA TATU YA MWAKA WA FEDHA 2025/2026	public_meeting	https://sihadc.go.tz/api/announcements?page=1&limit=50
Siha District Council	sihadc.go.tz	announcements	469	2026-04-28	TANGAZO ,MAADHIMISHO YA WIKI YA RASILIMALI WATU	exhibition_or_public_event	https://sihadc.go.tz/api/announcements?page=1&limit=50
Meru District Council	merudc.go.tz	news	2950	2026-04-25	CMT YAFANYA ZIARA YA UKAGUZI WA MIRADI KWA ROBO YA TATU YA MWAKA WA FEDHA 2025/2026	parents_or_education, exhibition_or_public_event	https://merudc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	2920	2026-04-24	RAS NGUVILA AMUAGIZA DED MONDULI KULIPA MADAI YA UHAMISHO YA WATENDAJI WA KATA NA VIJIJI 🇹🇿	officials_training	https://arusha.go.tz/api/news?page=6&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	2919	2026-04-23	RAS ARUSHA AAGIZA KUKAMILIKA UKARABATI WA JENGO LA OFISI YA DC MONDULI	officials_training	https://arusha.go.tz/api/news?page=6&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	2849	2026-04-23	MTWALE: VIONGOZI ALAT SHIRIKIANENI ILI KUTIMIZA MALENGO WALIYOJIWEKEA	election_period	https://arusha.go.tz/api/news?page=6&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	2775	2026-04-22	WAZIRI MKUU AWASILI ARUSHA🇹🇿	election_period	https://arusha.go.tz/api/news?page=6&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	2788	2026-04-21	WAJUMBE WA ALAT WATAKIWA KUEPUKE MIGOGORO NA MIZOZO	election_period	https://arusha.go.tz/api/news?page=6&limit=50
